Bairros;Rendimento nominal médio (R$ - exclui sem rendimento);Rendimento nominal mediano (R$ - exclui sem rendimento);Rendimento nominal médio (R$ - inclui sem rendimento);Rendimento nominal mediano (R$ - inclui sem rendimento)
Caju;807;535;478;510
Gamboa;873;600;544;510
Santo Cristo;939;650;633;510
Saúde;1041;650;758;510
Centro ;1818;1200;1451;1000
Catumbi;1070;700;729;510
Cidade Nova;1344;800;951;529
Estácio;1274;780;861;510
Rio Comprido;1548;900;1078;570
Benfica;1133;700;674;510
Mangueira;861;580;499;510
Imperial de São Cristóvão ;1613;1000;1030;510
Vasco da Gama;1198;750;818;510
Paquetá ;1707;900;1188;510
Santa Teresa;1697;1000;1242;600
Botafogo;4269;3000;3260;1700
Catete;2947;1800;2302;1100
Cosme Velho;4173;1540;2947;750
Flamengo;4662;3000;3737;2000
Glória;2873;2000;2345;1500
Humaitá;4856;3500;3797;2500
Laranjeiras;4574;3000;3517;2000
Urca;5191;3500;3548;1500
Copacabana;4170;2500;3222;1700
Leme;4388;2500;3302;1220
Gávea ;5314;3000;3888;1700
Ipanema;6533;4000;4856;2000
Jardim Botânico;5811;3500;4408;2000
Lagoa;8286;6000;6160;3000
Leblon;6845;4900;5045;2400
São Conrado;6902;4000;5006;1500
Vidigal;996;600;647;510
Alto da Boa Vista;2094;1000;1415;600
Praça da Bandeira;2561;1600;1965;1020
Tijuca;3357;2000;2504;1200
Andaraí;2505;1500;1845;999
Grajaú;2987;2000;2185;1000
Maracanã;3453;2400;2618;1500
Vila Isabel;2502;1500;1821;800
Rocinha ;747;600;488;510
Bonsucesso;1435;1000;981;600
Manguinhos;699;510;424;510
Olaria;1451;1000;983;600
Ramos;1336;1000;919;600
Brás de Pina;1280;850;824;510
Penha;1203;800;734;510
Penha Circular;1396;1000;885;510
Del Castilho;1294;900;866;510
Engenho da Rainha;1226;850;818;510
Higienópolis;1547;1000;1100;700
Inhaúma;1074;800;687;510
Maria da Graça;1783;1200;1250;800
Tomás Coelho;1155;800;762;510
Abolição;1661;1020;1181;700
Água Santa;1629;1000;947;510
Cachambi ;2103;1500;1488;980
Encantado;1537;1000;1062;600
Engenho de Dentro;1622;1000;1118;600
Engenho Novo;1562;1000;1091;600
Jacaré;1101;700;662;510
Lins de Vasconcelos;1682;1000;1130;510
Méier;2725;2000;1974;1100
Piedade;1402;1000;981;600
Pilares;1237;900;794;510
Riachuelo;1870;1200;1362;800
Rocha;1949;1300;1389;800
Sampaio;1196;760;772;510
São Francisco Xavier;1694;1000;1159;550
Todos os Santos;2600;1822;1893;1021
Colégio;1037;700;637;510
Irajá;1498;1000;1027;600
Vicente de Carvalho;1086;700;706;510
Vila Cosmos;1428;1000;970;600
Vila da Penha;2145;1500;1531;1000
Vista Alegre;1722;1200;1194;800
Bento Ribeiro;1441;1000;967;530
Campinho;1741;1000;1188;600
Cascadura;1301;890;888;510
Cavalcanti;1049;800;617;510
Engenheiro Leal;1058;800;651;510
Honório Gurgel;1117;800;695;510
Madureira;1372;1000;907;510
Marechal Hermes;1309;850;838;510
Oswaldo Cruz;1369;1000;895;510
Quintino Bocaiúva;1354;1000;932;560
Rocha Miranda;1191;800;777;510
Turiaçú;1131;800;770;510
Vaz Lobo;1126;800;711;510
Bancários;1397;900;923;510
Cacuia;1455;1000;948;510
Cidade Universitária;1415;1000;901;510
Cocotá;2001;1300;1409;800
Freguesia;1607;1000;1076;510
Galeão;1370;790;811;510
Jardim Carioca;1594;950;1078;540
Jardim Guanabara;3565;2500;2524;1500
Moneró;2865;2000;2019;1300
Pitangueiras;1280;750;843;510
Portuguesa;1960;1200;1379;730
Praia da Bandeira;2049;1500;1432;900
Ribeira;2653;1800;1823;1000
Tauá;1360;800;886;510
Zumbi;2521;1600;1816;1000
Anchieta;1065;700;662;510
Guadalupe;1207;800;748;510
Parque Anchieta;1311;900;802;510
Ricardo de Albuquerque;1084;700;648;510
Acari;686;510;390;500
Barros Filho;762;580;424;500
Coelho Neto;1058;800;662;510
Costa Barros;744;538;424;500
Parque Colúmbia;997;700;617;510
Pavuna;1031;790;635;510
Jacarezinho ;703;510;411;510
Complexo do Alemão;722;590;433;510
Maré ;757;600;473;510
Cordovil;1020;700;623;510
Jardim América;1191;900;719;510
Parada de Lucas;881;650;496;510
Vigário Geral;898;610;504;510
Anil;2555;1500;1707;700
Curicica;1271;800;854;510
Freguesia;2673;1500;1860;800
Gardênia Azul;1069;750;728;510
Jacarepaguá;1351;800;906;510
Pechincha;2465;1500;1750;1000
Praça Seca;1561;1000;1048;511
Tanque;1467;1000;944;510
Taquara;1769;1020;1183;600
Vila Valqueire;2279;1500;1503;750
Barra da Tijuca;6835;5000;4823;2300
Camorim;2261;1000;1526;510
Grumari;571;510;317;300
Itanhangá;1763;800;1223;600
Joá;7891;4000;5720;2000
Recreio dos Bandeirantes;3808;2000;2639;900
Vargem Grande;1456;700;958;510
Vargem Pequena;1273;700;816;510
Cidade de Deus;823;600;533;510
Bangu;1088;700;671;510
Gericinó ;702;510;74;0
Padre Miguel;1152;800;725;510
Senador Camará;965;670;576;510
Campo Grande;1362;900;846;510
Cosmos;919;680;526;510
Inhoaíba;914;650;517;500
Santíssimo;1027;750;616;510
Senador Vasconcelos;1135;800;701;510
Paciência;886;600;506;500
Santa Cruz;941;630;533;500
Sepetiba;940;600;537;500
Barra de Guaratiba;1261;800;777;510
Guaratiba;939;650;538;510
Pedra de Guaratiba;1364;900;850;510
Campo dos Afonsos;3739;3000;1991;600
Deodoro;1076;700;629;510
Jardim Sulacap;2330;1800;1513;800
Magalhães Bastos;1172;800;733;510
Realengo;1150;800;730;510
Vila Militar;1659;1000;1029;510
